,id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,cast,director,director_of_photography,writers,producers,music_composer
16378,27242,Turn,7.0,8,Released,2001-10-13,,112.0,,tt0283086,ja,ターン,"Maki is a talented copper plate artist, however, just before her first gallery show, she gets struck by a truck. When she comes to she is at home. When she ventures outside, the city is deserted and she knows something is deeply wrong. Each day repeats; she wakes up at 2:15 in the afternoon. Gradually things start change, the phone rings, and she finds that she is not alone...",2.284,,,,Japan,日本語,"Ichirou Ooba, Fumiyo Kohinata, Mitsuko Baisho, Yoneko Matsukane, Akira Emoto, Katsunobu Sakurai, Asako Kobayashi, Junpei Morita, Riho Makise, Kazuki Kitamura, Akio Kajiura, Ayako Kawahara, Kantarô Nakamura",Hideyuki Hirayama,Junichi Fujisawa,"Kaoru Kitamura, Osamu Murakami",,
16381,27245,Electric Dragon 80.000 V,6.8,60,Released,2001-01-31,,55.0,,tt0276935,ja,エレクトリック·ドラゴン 80000V,"A violent, guitar-playing, electrically charged boxer faces off against an electronic wizard half-merged with a metallic Buddha.",4.532,,"Science Fiction, Action, Fantasy, Music","Suncent CinemaWorks, Taki Corporation",Japan,日本語,"Yoshiki Arizono, Masatoshi Nagase, Masakatsu Funaki, Tadanobu Asano",Gakuryu Ishii,Norimichi Kasamatsu,Gakuryu Ishii,Takenori Sentô,
16386,27251,Kylie Minogue: Live In Sydney,7.1,5,Released,2001-10-01,,137.0,,tt0399260,en,Kylie Minogue: Live In Sydney,"Hot off the heels of her 2001 World Tour, Kylie Minogue graces the stage for one final performance in her homeland of Australia. Filmed in Sydney, this theatrical extravaganza spans Kylie's 15-year musical evolution, including hits like """"I Should Be So Lucky,"""" """"Better The Devil You Know,"""" and the Top 10 smash, """"Can't Get You Out Of My Head.""""  From the catchy opening number, """"Love Boat,"""" to the sultry interpretation of Olivia Newton-John's """"Physical,"""" Kylie's energy never slows down",1.659,,Music,Done+Dusted,United Kingdom,English,"Paolo Sabatini, Sherina White, Germana Bonaparte, Tony Bongiorno, Kylie Minogue, Cristian Scionte, Federica Catalona, Veronica Peperini, Gianluca Frezzato, Lurine Cato, Milena Mancini",Hamish Hamilton,,,"Ian Stewart, Terry Blamey, Ray Still, Julie Jakobek",
16393,27259,Long Time Dead,5.3,131,Released,2002-01-18,13102295.0,94.0,,tt0251806,en,Long Time Dead,"A group of British students embark on summoning spirits on a Ouija board after a night of clubbing. But someone breaks the link before they have finished and now a demon is trapped in their world and the only way to banish it, is for all the people who summoned it to die.",9.703,Play It To Death,"Horror, Thriller","StudioCanal, Midfield Films, Working Title Films, Film Council, Canal+, WT² Productions","France, United Kingdom",English,"Virginia Fanshawe, Peter Gevisser, Melanie Gutteridge, Alec Newman, James Hillier, Joe Absolom, Rodney Hart, Cyril Nri, Tony Lee, Mel Raido, Marsha Thomason, Derek Lea, Tom Bell, Joel Pitts, Pete Valente, Lukas Haas, Olivia Caffrey, Lara Belmont, Nicolas Chagrin, Anita Kelsey, Michael Feast, Tameka Empson, Mark Barratt",Marcus Adams,Nic Morris,"Daniel Bronzite, James Gay-Rees, Eitan Arrusi, Rachael Prior, Chris Baker, Andy Day, Marcus Adams","James Gay-Rees, Eric Fellner, Tim Bevan",Don Davis
16442,27324,Pulse,6.5,459,Released,2001-02-03,318451.0,119.0,25000000.0,tt0286751,ja,回路,"In the immense city of Tokyo, the darkness of the afterlife lurks some of its inhabitants who are desperately trying to escape the sadness and isolation of the modern world.",16.043,Do you want to meet a ghost?,"Horror, Thriller, Mystery","Daiei Film, Nippon Television Network Corporation, Hakuhodo, IMAGICA",Japan,日本語,"Kumiko Aso, Show Aikawa, Atsushi Yuki, Masatoshi Matsuo, Koyuki, Ken Furusawa, Shinji Takeda, Hassei Takano, Haruhiko Kato, Kenji Mizuhashi, Jun Fubuki, Teruo Ono, Akiko Kitamura, Masayuki Shionoya, Koji Yakusho, Rie Yasuda, Takumi Tanji, Go Takashima, Kurume Arisaka, Kaori Ichijō, Kiyoshi Kurosawa, Zengoro Mamiana, Shun Sugata",Kiyoshi Kurosawa,Junichiro Hayashi,Kiyoshi Kurosawa,"Seiji Okuda, Atsuyuki Shimoda, Hiroshi Yamamoto, Ken Inoue, Shun Shimizu, Yasuyoshi Tokuma",Takefumi Haketa
16447,27329,The Legend of Suriyothai,5.5,21,Released,2001-08-17,,185.0,,tt0290879,th,สุริโยไท,"During the 16th century, as Thailand contends with both a civil war and Burmese invasion, a beautiful princess rises up to help protect the glory of the Kingdom of Ayothaya. Based on the life of Queen Suriyothai.",5.374,A woman warrior changed the course of history.,"History, War, Drama, Action","American Zoetrope, Prommitr International Production, Sahamongkolfilm",Thailand,ภาษาไทย,"Suppakorn Kitsuwan, Manop Aussawathep, Mai Charoenpura, Pisamai Wilaisak, Ekkapun Bunluerit, Sinjai Plengpanich, Sa-Ard Piempongsan, Johnny Anfone, Sombat Metanee, Amphol Lampoon, Piyapas Bhirombhakdi, Sorapong Chatree, Samart Payakaroon, Sarunyu Wongkrachang, Wannasa Thongviset, Varut Woratham, Chatchai Plengpanich, Penpak Sirikul, Yanee Tramoth, Pawanrat Naksuriya, Krung Srivilai, Supakit Tungtatsawat, Saharat Sangkapreecha",Chatrichalerm Yukol,"Igor Luther, Anupap Buachand, Stanislav Doršic","Chatrichalerm Yukol, Sunait Chutintaranond",,Richard Harvey
16454,27338,The Pretender 2001,7.1,29,Released,2001-01-22,,86.0,,tt0271732,en,The Pretender 2001,"Picking up where the television series left off, """"The Pretender 2001"""" features even deeper explorations in the show's mythology, including a revealing look back at how Jarod originally espaced from the Centre. But now he must infiltrate the NSA to capture a ruthless assassin who might be a fellow Pretender from his past!",6.454,He is a master of disguise. She is a master of the hunt. Let the chase begin.,"TV Movie, Action, Mystery","Imagiquest Entertainment, NBC Studios, 20th Century Fox Television",United States of America,English,"Andrea Parker, Cynthia Dale, Derwin Jordan, James Denton, Michael T. Weiss, Yannick Bisson, Patrick Bauchau, Jon Gries, Harve Presnell, Tyler Christopher, Peter Outerbridge, Richard Marcus",Frederick King Keller,Malcolm Cross,"Steven Long Mitchell, Craig W. Van Sickle","Steven Long Mitchell, Craig W. Van Sickle, Michael J. Maschio, Frederick King Keller",
16455,27339,The Pretender: Island of the Haunted,7.0,19,Released,2001-12-10,,91.0,,tt0274735,en,The Pretender: Island of the Haunted,"Jarod takes a keen interest in an ancient symbol that may unlock secrets about his family. But Miss Parker is hot on Jarod's trail and about to make discoveries of her own. Their investigation leads to a remote Island off the Scottish coast, where a set of sacred scrolls, vital to the Centre, have been hidden – and protected – for centuries.",4.629,,"TV Movie, Action, Crime, Mystery","Imagiquest Entertainment, NBC Studios, 20th Century Fox Television",United States of America,English,"Andrea Parker, Paul Dillon, Dean Mckenzie, Conrad Coates, Diana Leblanc, John Bourgeois, Jack Langedijk, James Denton, Michael T. Weiss, Chloe Randle-Reis, Everett Sifuentes, Patrick Bauchau, Jon Gries, Julian Richings, Harve Presnell, Richard Marcus",Frederick King Keller,Malcolm Cross,"Steven Long Mitchell, Craig W. Van Sickle","Steven Long Mitchell, Craig W. Van Sickle, Michael J. Maschio, Frederick King Keller",
16542,27444,Better Than Sex,5.8,31,Released,2000-11-09,,84.0,,tt0236019,en,Better Than Sex,After a one-night stand a couple is faced with the terrifying possibility of what they really want.,6.209,3 days in the life of a 1 night stand.,"Romance, Drama, Comedy","Better Than, France Télévisions Distribution, Meercat Films, New Vision Films, New South Wales Film & Television Office","Australia, France",English,"Pauline Anderson, Jason Chong, Jason Clarke, Kris McQuade, Tammy Macintosh, Catherine McClements, Laura Keneally, Harry Bragg, Ken Waters, Leah Vandenberg, Imelda Corcoran, Tim Richards, David Wenham, Emily Saunders, Tamblyn Lord, Dina Gillespie, Mark Priestley, Susie Porter, Simon Bossell",Jonathan Teplitzky,Garry Phillips,"Jonathan Teplitzky, Genevieve Mooy","Marc Bonduel, Frank Cox, Bruna Papandrea",David Hirschfelder
16545,27447,Edge of Madness,5.872,18,Released,2002-02-18,,99.0,,tt0287140,en,Edge of Madness,"1851, Manitoba's Red River Valley. As winter sets in, a young woman on the edge of madness arrives exhausted at the fort, a wilderness station, claiming she murdered her husband. She's placed in a cell; for the next several months, she sews while the local prefect, Henry Mullen, investigates.",3.752,,"Drama, Mystery, Thriller","CinéGroupe, Gregorian Films","Canada, United States of America",English,"Paul Johansson, Corey Sevier, Brendan Fehr, Caroline Dhavernas, Jonas Chernick, Tantoo Cardinal",Anne Wheeler,David Frazee,"Alice Munro, Charles K. Pitts, Anne Wheeler",William Wallace Gray,
