,id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,cast,director,director_of_photography,writers,producers,music_composer
11,16,Dancer in the Dark,7.868,1697,Released,2000-09-01,40061153.0,140.0,12500000.0,tt0168629,en,Dancer in the Dark,"Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, escaping life's troubles - even if just for a moment - by dreaming up little numbers to the rhythmic beats of her surroundings.",22.727,You don't need eyes to see.,"Drama, Crime","Lantia Cinema & Audiovisivi, Fine Line Features, Zentropa Entertainments, DR, SVT Drama, ARTE, Memfis Film, France 3 Cinéma, Angel films, YLE, Blind Spot Pictures, Liberator Productions, Íslenska kvikmyndasamsteypan, Pain Unlimited GmbH Filmproduktion, Trust Film Svenska, Cinematograph A/S, What Else? B.V, Filmek A/S, Film4 Productions, Canal+, ARTE France Cinéma, Film i Väst, TV 1000 Sverige, WDR, Constantin Film, VPRO","Argentina, Denmark, Finland, France, Germany, Iceland, Italy, Netherlands, Norway, Sweden, United Kingdom, United States of America",English,"Bobo Eriksson, Caroline Sascha Cogez, Bo Westerholm, Peter Stormare, Vladica Kostic, Ana Christine Broström, Udo Kier, T.J. Rizzo, Mette Berggreen, Anders Tärneberg, Edvin Karsson, Erik Drugge, Stellan Skarsgård, Carl Johan De Neergaard, Rikke Lylloff, Björk, Claus Berenhard, Britt Bendixen, Elin Johansson, Nick Wolf, Cara Seymour, Birgitte Skands, Michael Flessas, John Randolph Jones, Noah Lazarus, Sean-Michael Smith, Vincent Paterson, Lars Michael Dinesen, Diana G.L. Watson, Emilie Bendz, Frederik Mondrup, Marianne Bengtsson, Paprika Steen, Karoliina Heiskanen, Sheldon Litt, Reathel Bean, Eric Voge, Anders-Peter Torsleff Hansen, Anthony Ajoise Olufemi Jacob, Zeljko Ivanek, Fredrik Börgesson, Eli Stalhand, Siobhan Fallon Hogan, Anna David, Ami Eklöf-Annell, Jean-Marc Barr, Anna Rosenberg, Bjorn Ahlander, Al Agami, Anders Thorhauge, Alex Mouro, Ann Crosset, Ed Hickok, John Martinus, Alexander Arli, Allan Gyldenkærne, Annette Lindholm, Anna Norberg, Carol Linda Nielsen, Erik Dammann, Troels Asmussen, Andrew Lucre, Katrine Falkenberg, David Morse, Cristian Valle, Luke Reilly, Jens Albinus, Joel Grey, Timm Zimmermann, Catherine Deneuve",Lars von Trier,Robby Müller,"Sjón, Lars von Trier","Leo Pescarolo, Peter Aalbæk Jensen, Vibeke Windeløv",Björk
26,55,Amores Perros,7.6,2475,Released,2000-06-16,20908467.0,154.0,2000000.0,tt0245712,es,Amores perros,"A fatalistic car crash in Mexico city sets off a chain of events in the lives of three people: a supermodel, a young man wanting to run off with his sister-in-law, and a homeless man. Their lives are catapulted into unforeseen situations instigated by the seemingly inconsequential destiny of a dog.",50.434,Love. Betrayal. Death.,"Drama, Thriller","Altavista Films, Zeta Film",Mexico,Español,"Gerardo Campbell, Rosa María Bianchi, Ricardo Dalmacci, Goya Toledo, Dagoberto Gama, Gustavo Sánchez Parra, Álvaro Guerrero, Laura Almela, Vanessa Bauche, Humberto Busto, Marco Pérez, Emilio Echevarría, Rodrigo Ostap, Heriberto del Castillo, Lourdes Echevarría, Dunia Saldívar, Roberto Medina, Jorge Salinas, Carlos Samperio, Mauricio Martínez, Rodrigo Murray, Adriana Barraza, Gustavo Muñoz, José Sefami, Patricio Castillo, Gael García Bernal",Alejandro González Iñárritu,Rodrigo Prieto,Guillermo Arriaga,"Martha Sosa Elizondo, Francisco González Compeán, Alejandro González Iñárritu",Gustavo Santaolalla
31,64,Talk to Her,7.579,1233,Released,2002-03-15,64803131.0,112.0,,tt0287467,es,Hable con ella,Two men share an odd friendship while they care for two women who are both in deep comas.,18.855,,"Drama, Romance","Vía Digital, Good Machine, El Deseo, Atresmedia",Spain,Español,"Carlos García Cambero, Leonor Watling, Pina Bausch, Agustín Almodóvar, Javier Cámara, Lola García, Fernando Iglesias, Chus Lampreave, Lola Dueñas, Rosario Flores, Caetano Veloso, Carmen Machi, Malou Airaudo, Darío Grandinetti, Esther García, Fele Martínez, Roberto Álvarez, Paz Vega, Mariola Fuentes, Adolfo Fernández, Geraldine Chaplin, Helio Pedregal, Elena Anaya, Ana Fernández",Pedro Almodóvar,Javier Aguirresarobe,Pedro Almodóvar,"Michel Ruben, Agustín Almodóvar","Alberto Iglesias, Vicente Amigo"
32,65,8 Mile,7.134,6958,Released,2002-11-08,242875078.0,111.0,41000000.0,tt0298203,en,8 Mile,"For Jimmy Smith, Jr., life is a daily fight just to keep hope alive. Feeding his dreams in Detroit's vibrant music scene, Jimmy wages an extraordinary personal struggle to find his own voice - and earn a place in a world where rhymes rule, legends are born and every moment… is another chance.",78.615,Every moment is another chance,"Drama, Music","Mikona Productions, Imagine Entertainment","Germany, United States of America",English,"Malik Barnhardt, Mike Bell, Allen Adams, Abdul Salaam El Razzac, DJ Head, Paul Bates, Rockey Black, Brittany Murphy, Na'Keya Snoddy, Taryn Manning, Adam Brook, Kim Basinger, Michael Shannon, Nashawn 'Ox' Breedlove, Njeri Earth, Venicia Foreman, Brandon T. Jackson, Omar Benson Miller, Proof, Kyla Womack, Day Golfin, Obie Trice, Bushman, Larry Hudson, Eugene Byrd, Steven Monroe, Mekhi Phifer, De'Angelo Wilson, Xzibit, Chloe Greenfield, Hom, John Smith Jr., Anthony Mackie, Jennifer Kitchen, Waverly W. Alford II, Strike, Mary Hannigan, Eminem, Craig Chandler, Miz-Korona, Melissa Zaglanikzny, Evan Jones",Curtis Hanson,Rodrigo Prieto,Scott Silver,"Jimmy Iovine, Jim Whitaker, Brian Grazer, Gregory Goodman, Curtis Hanson, Paul Rosenberg",
38,71,Billy Elliot,7.6,3691,Released,2000-09-28,109280263.0,110.0,5000000.0,tt0249462,en,Billy Elliot,"County Durham, England, 1984. The miners' strike has started and the police have started coming up from Bethnal Green, starting a class war with the lower classes suffering. Caught in the middle of the conflict is 11-year old Billy Elliot, who, after leaving his boxing club for the day, stumbles upon a ballet class and finds out that he's naturally talented. He practices with his teacher Mrs. Wilkinson for an upcoming audition in Newcastle-upon Tyne for the royal Ballet school in London.",47.61,Inside every one of us is a special talent waiting to come out. The trick is finding it.,"Drama, Comedy, Music","StudioCanal, BBC Film, Tiger Aspect, Arts Council of England, Working Title Films, Universal Pictures, WT² Productions","France, United Kingdom, United States of America",English,"Lee Williams, Colin MacLachlan, Neil North, Paul Ridley, Adam Cooper, Imogen Claire, Diana Kent, Stephen Mangan, Matthew James Thomas, Merelina Kendall, Jamie Bell, Petra Siniawski, Carol McGuigan, Merryn Owen, Barbara Leigh-Hunt, Jamie Draven, Janine Birkett, Patrick Malahide, Tracey Wilkinson, Denny Ferguson, Charlie Hardwick, Julie Walters, Mike Elliot, Stuart Wells, Dennis Lingard, Gary Lewis, Nicola Blackwell, Trevor Fox, Billy Fane, Jean Heywood, Zoë Bell, Joe Renton",Stephen Daldry,Brian Tufano,Lee Hall,"Jonathan Finn, Natascha Wharton, Tessa Ross, David M. Thompson, Greg Brenman, Charles Brand",Stephen Warbeck
43,77,Memento,8.184,14320,Released,2000-10-11,40000000.0,113.0,9000000.0,tt0209144,en,Memento,"Leonard Shelby is tracking down the man who raped and murdered his wife. The difficulty of locating his wife's killer, however, is compounded by the fact that he suffers from a rare, untreatable form of short-term memory loss. Although he can recall details of life before his accident, Leonard cannot remember what happened fifteen minutes ago, where he's going, or why.",44.211,Some memories are best forgotten.,"Mystery, Thriller","Summit Entertainment, Newmarket Capital Group, Team Todd, I Remember Productions, Newmarket Films",United States of America,English,"Carrie-Anne Moss, Callum Keith Rennie, Jorja Fox, Stephen Tobolowsky, Kimberly Campbell, Harriet Sansom Harris, Joe Pantoliano, Russ Fega, Marianne Muellerleile, Larry Holden, Thomas Lennon, Mark Boone Junior, Guy Pearce",Christopher Nolan,Wally Pfister,"Jonathan Nolan, Christopher Nolan","Jennifer Todd, Suzanne Todd, Aaron Ryder",David Julyan
45,79,Hero,7.506,2151,Released,2002-07-22,177394432.0,99.0,31000000.0,tt0299977,zh,英雄,"During China's Warring States period, a district prefect arrives at the palace of Qin Shi Huang, claiming to have killed the three assassins who had made an attempt on the king's life three years ago.",31.943,One man's strength will unite an empire.,"Drama, Adventure, Action, History","Beijing New Picture Film Co. Ltd., China Film Co-Production Corporation","China, Hong Kong, Australia",普通话,"Jin Ming, Chen Daoming, Shou Xin Wang, Zhongyuan Liu, Maggie Cheung, Donnie Yen, Ma Wen Hua, Zhang Ziyi, Xu Kuang Hua, Jet Li, Qin Yan, Chang Xiao Yang, James Hong, Zhang Yakun, Tianyong Zheng, Tony Leung Chiu-wai",Zhang Yimou,Christopher Doyle,"Feng Li, Bin Wang, Zhang Yimou","Zhang Weiping, Bill Kong Chi-Keung, Zhang Yimou, Zhang Zhenyan, Shoufang Dou",Dun Tan
59,94,Kunstgriff,7.5,4,Released,2002-01-01,,6.0,,tt0436488,de,Kunstgriff,Kunstgriff is a brilliantly filmed black and white short film. Andre F. Nebe gives proof of his storytelling abilities in this 6 minute film.,1.376,,Comedy,Hamburger Filmschule,Germany,No Language,"Ursula Buschhorn, Hans-Werner Meyer",André F. Nebe,Sven O. Hill,Katrin Lehnert,Raoul B. Reinert,
63,98,Gladiator,8.2,17788,Released,2000-05-04,465361176.0,155.0,103000000.0,tt0172495,en,Gladiator,"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos.  Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor.  As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed.  He escapes, but is captured by slave traders.  Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences.",155.689,What we do in life echoes in eternity.,"Action, Drama, Adventure","Universal Pictures, Scott Free Productions, Red Wagon Entertainment, Mill Film, DreamWorks Pictures","United Kingdom, United States of America",English,"Brian Smyj, Russell Crowe, John Shrapnel, Paul Sacks, Richard Harris, Richard Stride, David Schofield, Omid Djalili, Tommy Flanagan, Joaquin Phoenix, Paul Woodadge, Antone Pagán, Connie Nielsen, Derek Jacobi, Giannina Facio, Malcolm Ellul, Ralf Moeller, João Costa Menezes, Mark Lewis, Ray Mangion, Oliver Reed, Tony Tomlinson, Djimon Hounsou, Alun Raglan, Neil Roche, Al Hunter Ashton, Tomas Arana, Sven-Ole Thorsen, David Bailie, Steve Saunders, Michael Yale, David J. Nicholls, Giorgio Cantarini, Billy Dowd, Chris Kell, John Quinn, Mike Mitchell, Nicholas McGaughey, Spencer Treat Clark, Tony Curran, Chick Allan, David Hemmings, Norman Campbell Rees",Ridley Scott,John Mathieson,"William Nicholson, David Franzoni, John Logan","Walter F. Parkes, Branko Lustig, Ridley Scott, David Franzoni, Laurie MacDonald, Douglas Wick","Lisa Gerrard, Hans Zimmer"
67,102,Open Hearts,6.952,94,Released,2002-09-06,,113.0,,tt0315543,da,Elsker dig for evigt,"Cecilie and Joachim are about to get married when a freak car accident leaves Joachim disabled, throwing their lives into a spin. The driver of the other car, Marie, and her family don’t get off lightly, either. Her husband Niels works in the hospital where he meets Cecilie and falls madly in love with her.",9.551,,"Drama, Romance","Zentropa Entertainments, Det Danske Filminstitut",Denmark,Dansk,"Sonja Richter, Stine Bjerregaard, Tina Gylling Mortensen, Ulf Pilgaard, Hans Henrik Clemensen, Jens Basse Dam, Birthe Neumann, Niels Olsen, Hanne Windfeld, Susanne Juhász, Anders Nyborg, Pelle Bang Sørensen, Nikolaj Lie Kaas, Philip Zandén, Michel Castenholt, Paprika Steen, Ronnie Lorenzen, Ida Dwinger, Mads Mikkelsen, Birgitte Prins",Susanne Bier,Morten Søborg,Anders Thomas Jensen,"Jonas Frederiksen, Peter Aalbæk Jensen, Sisse Graum Jørgensen, Vibeke Windeløv",Jesper Winge Leisner
72,107,Snatch,7.809,8689,Released,2000-09-01,83600000.0,103.0,10000000.0,tt0208092,en,Snatch,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",112.513,Stealin' stones and breakin' bones.,"Crime, Comedy","SKA Films, Columbia Pictures, Screen Gems","United Kingdom, United States of America","English, Pусский","James Cunningham, Sidney Sedin, Roy Snell, Rade Šerbedžija, Dian Bachar, Christopher Fosh, Elwin 'Chopper' David, John Taheny, Adam Fogerty, Tim Packham, Jason Ninh Cao, Liam Donaghy, Andy Till, Ewen Bremner, Austin Drage, Sid Hoare, Velibor Topic, John Hathaway, Jason Statham, Jason Flemyng, Tom Delmar, Peter Rnic, Robbie Gee, Chuck Julian, Benicio del Toro, Goldie, Eric Meyers, Nicola Collins, Dennis Farina, Vinnie Jones, Sam Douglas, Dean Smith, Shaun Pearson, Scott Welch, Alan Ford, Mickey Dee, Mickey Cantwell, John Farnell, Joe Williams, Yuri Stepanov, Charles Cork, Trevor Steedman, Andy Beckwith, Peter Szakacs, Tim Faraday, Lennie James, Ade, Jimmy Roussounis, Jason Buckham, Sorcha Cusack, Andrew Shield, Guy Ritchie, Sol Campbell, Paul O'Boyle, Stephen Graham, Dave Legeno, Liam McMahon, Teena Collins, Ronald Isaac, William Beck, Mick Theo, Mike Reid, Brad Pitt, James Warren, Michael Hughes, Alex Andreas",Guy Ritchie,Tim Maurice-Jones,Guy Ritchie,"Stephen Marks, Angad Paul, Steve Tisch, Trudie Styler, Peter Morton, Matthew Vaughn",John Murphy
77,112,Italian for Beginners,6.5,110,Released,2000-12-07,16350876.0,112.0,1000000.0,tt0243862,da,Italiensk for begyndere,"A group of strangers find friendship, family and love within an Italian beginners’ course.",8.454,Attendance optional. Passion required.,"Comedy, Drama, Romance",Zentropa Entertainments,"Denmark, Sweden","Dansk, Italiano","Sara Indrio Jensen, Lene Tiemroth, Jesper Christensen, Karen-Lise Mynster, Ann Eleonora Jørgensen, Lars Kaalund, Rikke Wölck, Carlo Barsotti, Steen Svare, Susanne Oldenburg, Peter Gantzler, Anette Støvelbæk, Elsebeth Steentoft, Martin Brygmann, Anders W. Berthelsen, Claus Gerving, Bent Mejding, Alex Nyborg Madsen",Lone Scherfig,Jørgen Johansson,"Lone Scherfig, Maeve Binchy","Vinca Wiedemann, Gert Duve Skovlund, Peter Aalbæk Jensen, Marianne Moritzen, Ib Tardini",Rune Palving
84,120,The Lord of the Rings: The Fellowship of the Ring,8.412,24281,Released,2001-12-18,871368364.0,179.0,93000000.0,tt0120737,en,The Lord of the Rings: The Fellowship of the Ring,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",144.481,One ring to rule them all,"Adventure, Fantasy, Action","New Line Cinema, WingNut Films, The Saul Zaentz Company","New Zealand, United States of America",English,"Mana Hira Davis, Warren Green, Sharon Maxwell, Ian Holm, Ralph Johnson, Blair Morton, Chris Streeter, Harry Sinclair, Timothy Bartlett, Billy Jackson, Norman Cates, Matt Appleton, Semi Kuresa, Ian Mune, Betty Adams, Ben Britton, Lynden Berrymen, Gareth Jensen, Branko Dordevich, Stu Johnson, Shane Dawson, Phoebe Gittins, Lance Fabian Kemp, Grant Roa, Ben Price, Paul Bryson, Liv Tyler, Jeff Kingsford-Brown, Siaosi Fonua, Andrew Stehlin, Daniel Andrews, Noel Appleby, Craig Parker, Elijah Wood, Viggo Mortensen, Greg Lane, Bob Blackwell, Jed Brophy, Richard Maybery, David J. Muzzerall, Phil Grieve, Tack Daniel, Sarah McLeod, Jono Manks, Greg Morrison, Brent McIntyre, Tim Kano, Randall William Cook, Cate Blanchett, Peter Daube, Lani Jackson, Alan Howard, Samuel E. Shore, Rachel Clentworth, Alan Lee, Sam La Hood, Ian McKellen, Clinton Ulyatt, Riley Brophy, Zo Hartley, Shane Rangi, Taea Hartwell, Winham Hammond, Sacha Lee, Tim Wong, Peter Lyon, Mike Stearne, Vincent Roxburgh, Ben Fransham, Dean Morganty, Ryan Carey, Dominic Monaghan, Thomas Robins, Liz Merton, Sean Astin, Mark Ferguson, Jarl Benzon, Victoria Beynon-Cole, Andrew Munro, John Rhys-Davies, Xander Forterie, Christopher Lee, Megan Edwards, Rodney Bane, David Houma, Jørn Benzon, Gino Acevedo, Martyn Sanderson, Sabine Crossen, Billy Boyd, Jo Surgison, Peter Jackson, Paul Shapcott, Lawrence Makoare, Larry Rew, Sala Baker, Chris Ryan, Andy Serkis, Sam Kelly, David Weatherley, Ray Henwood, Jonathan Harding, Lee Hartley, Bret McKenzie, Cameron Rhodes, Ken Stratton, Michael Elsworth, Katie Jackson, Hugo Weaving, Jonathan Jordan, Sean Bean, Orlando Bloom, Tim McLachlan, Marta Martí, Marton Csokas, Kester Fordham, Peter McKenzie",Peter Jackson,Andrew Lesnie,"Philippa Boyens, Peter Jackson, Fran Walsh, J.R.R. Tolkien","Bob Weinstein, Michael Lynne, Peter Jackson, Tim Sanders, Robert Shaye, Fran Walsh, Mark Ordesky, Barrie M. Osborne, Harvey Weinstein",Howard Shore
85,121,The Lord of the Rings: The Two Towers,8.394,21093,Released,2002-12-18,926287400.0,179.0,79000000.0,tt0167261,en,The Lord of the Rings: The Two Towers,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",87.77,A new power is rising.,"Adventure, Fantasy, Action","New Line Cinema, WingNut Films, The Saul Zaentz Company","New Zealand, United States of America",English,"Mana Hira Davis, Matthew J. Saville, Kelley Kerr Young, Paul Norell, Karlos Drinkwater, Richard Knowles, David Wenham, Billy Jackson, Frank Goldingham, John Noble, Sam Comery, Ben Britton, Gareth Jensen, Nathaniel Lees, Shane Dawson, John Bach, Sandro Kopp, Miranda Otto, Augie Davis, Liv Tyler, Siaosi Fonua, Karl Urban, Ben Barrington, Craig Parker, Henry Mortensen, Stephen Ure, Elijah Wood, Daniel Falconer, Viggo Mortensen, Frank Edwards, Jed Brophy, Phil Grieve, Jono Manks, Robbie Magasiva, Alistair Browning, Aron Eastwood, Owen Black, Alexia Fairbrother, Brent McIntyre, Miranda Rivers, Brad Dourif, Michael Fowler, Cate Blanchett, Lani Jackson, Francis Mountjoy, Allan Smith, Samuel E. Shore, Don Langridge, Greg Tozer, Alan Lee, Sam La Hood, Ian McKellen, Alix Bushnell, Riley Brophy, Lucas Hayward, Robert Pollock, Sean Button, Dan Hennah, Winham Hammond, Tim Wong, Rodney Cook, Robert Young, Ben Fransham, Dra McKay, Dean Morganty, Bruce Hopkins, Frazer Anderson, Ryan Carey, Dominic Monaghan, Sean Astin, Jarl Benzon, Victoria Beynon-Cole, Paris Howe Strewe, John Rhys-Davies, Christopher Lee, Calum Gittins, Bernard Hill, Jørn Benzon, Jason Hood, Barrie M. Osborne, Raymond Trickitt, Campbell Rousselle, Billy Boyd, Bruce Phillips, Gareth Reeves, Peter Jackson, Sala Baker, Piripi Waretini, Clint Elvy, Andy Serkis, Sam Kelly, Bruce Allpress, John Wraight, Jonathan Harding, Lee Hartley, Joseph Mika-Hunt, Dorothy Anne Bonner, Michael Lawrence, Robyn Malcolm, Katie Jackson, Hugo Weaving, Sean Bean, Orlando Bloom, Allan Poppleton, Kester Fordham, John Leigh, Olivia Tennet",Peter Jackson,Andrew Lesnie,"Stephen Sinclair, Peter Jackson, J.R.R. Tolkien, Fran Walsh, Philippa Boyens","Bob Weinstein, Michael Lynne, Peter Jackson, Robert Shaye, Fran Walsh, Mark Ordesky, Barrie M. Osborne, Harvey Weinstein",Howard Shore
93,129,Spirited Away,8.537,15864,Released,2001-07-20,274925095.0,125.0,19000000.0,tt0245429,ja,千と千尋の神隠し,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",109.368,,"Animation, Family, Fantasy",Studio Ghibli,Japan,日本語,"Koba Hayashi, Yasuko Sawaguchi, Shirou Saitou, Kazutaka Hayashida, Shinobu Katabuchi, Rumi Hiiragi, Bunta Sugawara, Keiko Tsukamoto, Miyu Irino, Shinji Tokumaru, Ryunosuke Kamiki, Shigeyuki Totsugi, Sonoko Soeda, Michiko Yamamoto, Tetsurô Ishibashi, Aki Tachikawa, Katsuhisa Matsuo, Sachie Azuma, Takashi Naito, Yo Oizumi, Yayoi Kazuki, Katsutomo Shîbara, Yoshitaka Sukegawa, Akiko Tomihira, Hiromi Takeuchi, Noriko Yamaya, Masayuki Kizu, Miwa Takachi, Mayumi Saco, Masahiro Asano, Yôko Ôno, Mari Natsuki, Ikuko Yamamoto, Kaori Yamagata, Tatsuya Gashûin, Makiko Oku, Takehiko Ono, Mina Meguro, Naoto Kaji, Tsunehiko Kamijô, Rina Yamada, Minako Masuda, Noriko Kitou, Yumi Tamai, Shigeru Wakita, Ken Yasuda, Akio Nakamura, Orika Ono",Hayao Miyazaki,Atsushi Okui,Hayao Miyazaki,"Yasuyoshi Tokuma, Toshio Suzuki",Joe Hisaishi
96,134,"O Brother, Where Art Thou?",7.334,3986,Released,2000-08-30,71900000.0,107.0,26000000.0,tt0190590,en,"O Brother, Where Art Thou?","In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them. On their journey they come across many comical characters and incredible situations. Based upon Homer's 'Odyssey'.",31.731,"They have a plan, but not a clue.","Adventure, Comedy, Crime","Touchstone Pictures, Universal Pictures, StudioCanal, Working Title Films, Mike Zoss Productions","France, United Kingdom, United States of America",English,"Daniel von Bargen, John Locke, Wilson Waters Jr., Stephen Root, Wayne Duvall, George Clooney, David Holt, Musetta Vander, Buck White, Chris Thomas King, Ed Snodderly, Gillian Welch, J.R. Horne, Ray McKinnon, Lee Weaver, John McConnell, John Goodman, Christy Taylor, Marianna Breland, Natalie Shedd, Issac Freeman, Cheryl White, Willard Cox, Robert Hamlett, Charles Durning, Ed Gale, Holly Hunter, Suzanne Cox, Sidney Cox, Frank Collison, Michael W. Finnell, Brian Reddy, Lindsey Miller, John Turturro, Michael Badalucco, Tim Blake Nelson, Del Pentecost, Georgia Rae Rainer, Quinn Gasaway, Millford Fortenberry, Mia Tate, April Hardcastle, A. Ray Ratliff, Royce D. Applegate, Sharon White, Evelyn Cox","Joel Coen, Ethan Coen",Roger Deakins,"Homer, Joel Coen, Ethan Coen","Eric Fellner, Ethan Coen, Tim Bevan",T Bone Burnett
103,141,Donnie Darko,7.779,11981,Released,2001-01-19,7500000.0,114.0,4500000.0,tt0246578,en,Donnie Darko,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes.",318.462,YOU CAN NEVER GO TOO FAR.,"Fantasy, Drama, Mystery","Flower Films, Gaylord Films, Adam Fields Productions, Pandora Cinema",United States of America,English,"Maggie Gyllenhaal, Jake Gyllenhaal, David Moreland, Marina Malota, David St. James, Joan Blair, Katharine Ross, Ashley Tisdale, Carly Naples, Patience Cleveland, Alison Jones, Sarah Hudson, Seth Rogen, Phyllis Lyons, Jolene Purdy, Lisa K. Wyatt, Tom Tangen, Daveigh Chase, Mary McDonnell, James Duval, Noah Wyle, Rachel Winfree, Jena Malone, Jazzie Mahannah, Patrick Swayze, Alex Greenwald, Mark Hoffman, Tiler Peck, Kristina Malota, Beth Grant, Stuart Stone, Jerry Trainor, Lee Weaver, Holmes Osborne, Scotty Leavenworth, Drew Barrymore, Gary Lundy, Fran Kranz, Jack Salvatore, Jr., Arthur Taxier",Richard Kelly,Steven Poster,Richard Kelly,"Aaron Ryder, Casey La Scala, Nancy Juvonen, Adam Fields, Drew Barrymore, Christopher Ball, Hunt Lowry, William Tyrer, Sean McKittrick",Michael Andrews
108,146,"Crouching Tiger, Hidden Dragon",7.4,3055,Released,2000-07-06,213525736.0,120.0,17000000.0,tt0190332,zh,卧虎藏龍,"Two warriors in pursuit of a stolen sword and a notorious fugitive are led to an impetuous, physically-skilled, teenage nobleman's daughter, who is at a crossroads in her life.",27.361,"A timeless story of strength, secrets and two warriors who would never surrender.","Adventure, Drama, Action, Romance","China Film Co-Production Corporation, Columbia Pictures Film Production Asia, Good Machine, Asia Union Film & Entertainment Ltd., United China Vision, Zoom Hunt International Productions Company Ltd., Edko Films, Ang Lee Productions, Sony Pictures Classics","China, Hong Kong, Taiwan, United States of America",普通话,"Shao Jun Zhang, Rui Yang, Huang Suying, Yang Yong-De, Wang Wensheng, Song Dong, Chow Yun-fat, Kai Li, Michelle Yeoh, Zhang Ziyi, Ma Zhongxuan, Lin Feng, Du Zhen Xi, Hai Yan, Changsheng Dong, Ma Ning, Feng Jianhua, Zhang Jinting, Li Bao-Cheng, Shih Yi, Gao Xi'an, Wang Deming, Cheng Pei-pei, Sihung Lung, Zhu Min Jiang, Chen Bing, Li Li, Xu Cheng-lin, Chang Chen, Li Fazeng, Chang Sao-Chen",Ang Lee,Peter Pau,"Wang Huiling, Kuo Jung Tsai, James Schamus, Wang Dulu","Hsu Li-kong, James Schamus, Bill Kong Chi-Keung, Ang Lee, David Linde",Dun Tan
117,156,Wilbur Wants to Kill Himself,6.6,89,Released,2002-11-08,,111.0,,tt0329767,da,Wilbur begår selvmord,"The strange comedy film of two close brothers; one, Wilbur, who wants to kill himself, and the other, Harbour, who tries to prevent this. When their father dies leaving them his bookstore they meet a woman who makes their lives a bit better yet with a bit more trouble as well.",6.828,Meet a man dying to live,"Comedy, Drama, Romance","Les Films du Losange, Nordisk Film Denmark, Scottish Screen, TV 2, The Glasgow Film Fund","Denmark, France, United Kingdom, Sweden",English,"Elaine MacKenzie Ellis, Colin McAllister, John Yule, Mhairi Morrison, Lisa McKinlay, Andrew Townsley, Coral Preston, Nick Smith, Owen Gorman, Jamie Sives, Susan Vidler, Lorraine McIntosh, Adrian Rawlins, Shirley Henderson, Mads Mikkelsen, Julia Davis, Gordon Brown, Robert McIntosh",Lone Scherfig,Jørgen Johansson,"Anders Thomas Jensen, Lone Scherfig","Peter Aalbæk Jensen, Sisse Graum Jørgensen",Joachim Holbek
